,STATEFP,COUNTYFP_x,VTDST,NAME,G16PRERTRU_x,G16PREDCLI_x,G16PRELJOH_x,G16PRECCAS_x,G16USSRTHU_x,G16USSDWIL_x,G16HALRNOE_x,G16HALDHAW_x,G16PUCRNEL_x,G16PUCDRED_x,geometry,County_Name,join_col,County,Precinct,G16PRERTRU_y,G16PREDCLI_y,G16PRELJOH_y,G16PRECCAS_y,G16USSRTHU_y,G16USSDWIL_y,G16HALRNOE_y,G16HALDHAW_y,G16PUCRNEL_y,G16PUCDRED_y,COUNTYFP_y,_merge
974,,,,,,,,,,,,,,,,,051-PRECINCT-31,GRANT,Precinct-31,41.0,29.0,4.0,2.0,57.0,19.0,54.0,24.0,60.0,14.0,051,right_only
975,,,,,,,,,,,,,,,,,053-PRECINCT-1,GREGORY,Precinct-1,758.0,174.0,37.0,8.0,773.0,208.0,710.0,274.0,761.0,182.0,053,right_only
976,,,,,,,,,,,,,,,,,053-PRECINCT-2,GREGORY,Precinct-2,569.0,160.0,23.0,10.0,605.0,161.0,540.0,217.0,611.0,128.0,053,right_only
977,,,,,,,,,,,,,,,,,053-PRECINCT-3,GREGORY,Precinct-3,273.0,57.0,18.0,4.0,293.0,57.0,269.0,81.0,282.0,45.0,053,right_only
978,,,,,,,,,,,,,,,,,055-PRECINCT-20,HAAKON,Precinct-20,180.0,6.0,3.0,0.0,174.0,13.0,172.0,15.0,178.0,10.0,055,right_only
979,,,,,,,,,,,,,,,,,055-PRECINCT-19,HAAKON,Precinct-19,162.0,21.0,11.0,2.0,175.0,24.0,165.0,32.0,175.0,20.0,055,right_only
980,,,,,,,,,,,,,,,,,055-PRECINCT-01,HAAKON,Precinct-01,96.0,8.0,3.0,0.0,103.0,8.0,101.0,8.0,102.0,5.0,055,right_only
981,,,,,,,,,,,,,,,,,055-PRECINCT-16,HAAKON,Precinct-16,188.0,17.0,6.0,2.0,193.0,17.0,187.0,23.0,192.0,14.0,055,right_only
982,,,,,,,,,,,,,,,,,055-PRECINCT-04,HAAKON,Precinct-04,129.0,5.0,1.0,0.0,124.0,6.0,124.0,7.0,128.0,4.0,055,right_only
983,,,,,,,,,,,,,,,,,055-PRECINCT-17,HAAKON,Precinct-17,181.0,20.0,3.0,0.0,187.0,16.0,177.0,24.0,189.0,10.0,055,right_only
984,,,,,,,,,,,,,,,,,057-PRECINCT-26,HAMLIN,Precinct-26,338.0,46.0,14.0,3.0,360.0,41.0,338.0,57.0,369.0,25.0,057,right_only
985,,,,,,,,,,,,,,,,,057-PRECINCT-25,HAMLIN,Precinct-25,285.0,143.0,29.0,3.0,321.0,149.0,273.0,198.0,347.0,106.0,057,right_only
986,,,,,,,,,,,,,,,,,057-PRECINCT-24,HAMLIN,Precinct-24,471.0,117.0,29.0,3.0,521.0,111.0,483.0,149.0,529.0,88.0,057,right_only
987,,,,,,,,,,,,,,,,,057-PRECINCT-22,HAMLIN,Precinct-22,109.0,12.0,3.0,5.0,117.0,9.0,116.0,15.0,119.0,7.0,057,right_only
988,,,,,,,,,,,,,,,,,057-PRECINCT-21,HAMLIN,Precinct-21,483.0,166.0,32.0,12.0,534.0,159.0,479.0,221.0,570.0,100.0,057,right_only
989,,,,,,,,,,,,,,,,,057-PRECINCT-02,HAMLIN,Precinct-02,125.0,17.0,3.0,2.0,135.0,14.0,127.0,20.0,135.0,8.0,057,right_only
990,,,,,,,,,,,,,,,,,057-PRECINCT-23,HAMLIN,Precinct-23,240.0,54.0,14.0,4.0,265.0,53.0,246.0,70.0,269.0,34.0,057,right_only
991,,,,,,,,,,,,,,,,,059-PRECINCT-09 (PRECINCT-10),HAND,Precinct-09 (Precinct-10),125.0,9.0,3.0,5.0,136.0,10.0,133.0,13.0,131.0,10.0,059,right_only
992,,,,,,,,,,,,,,,,,059-PRECINCT-12,HAND,Precinct-12,304.0,98.0,29.0,3.0,347.0,93.0,316.0,123.0,361.0,62.0,059,right_only
993,,,,,,,,,,,,,,,,,059-PRECINCT-11,HAND,Precinct-11,262.0,86.0,15.0,2.0,294.0,83.0,264.0,113.0,312.0,58.0,059,right_only
994,,,,,,,,,,,,,,,,,059-PRECINCT-07,HAND,Precinct-07,82.0,29.0,5.0,1.0,88.0,32.0,77.0,40.0,88.0,23.0,059,right_only
995,,,,,,,,,,,,,,,,,059-PRECINCT-04,HAND,Precinct-04,42.0,9.0,2.0,0.0,47.0,5.0,41.0,10.0,49.0,2.0,059,right_only
